tipo,classe,local,internados,data_atualizacao,lat,long,semana_epidemiologica,leitos_total,leitos_disponiveis,lotacao,leitos_covid
emergencia,pediatrico,Hospital Conceição,3,2020-04-02,-30.01587,-51.158236,14,16,13,0.1875,NA
emergencia,pediatrico,Hospital Santa Casa,0,2020-04-02,-30.030803,-51.221512,14,11,11,0,NA
emergencia,pediatrico,Hospital São Lucas,0,2020-04-02,-30.055122,-51.173819,14,4,4,0,NA
emergencia,pediatrico,HMIPV,1,2020-04-02,-30.029525,-51.214865,14,9,8,0.1111111111111111,NA
emergencia,pediatrico,Hospital Restinga,1,2020-04-02,-30.142524,-51.128803,14,6,5,0.16666666666666666,NA
emergencia,pediatrico,PA Bom Jesus,0,2020-04-02,-30.043194,-51.153916,14,5,5,0,NA
emergencia,pediatrico,PA Cruzeiro do Sul,1,2020-04-02,-30.069603,-51.216537,14,9,8,0.1111111111111111,NA
emergencia,pediatrico,PA Lomba do Pinheiro,1,2020-04-02,-30.110731,-51.110188,14,4,3,0.25,NA
uti,adulto,Hospital Conceição,50,2020-04-01,-30.01587,-51.158236,14,59,9,0.847457627118644,1
uti,adulto,HCPA,41,2020-04-01,-30.038435,-51.206637,14,55,14,0.7454545454545455,6
uti,adulto,Hospital Santa Casa,60,2020-04-01,-30.030803,-51.221512,14,87,27,0.6896551724137931,0
uti,adulto,Hospital São Lucas,33,2020-04-01,-30.055122,-51.173819,14,59,26,0.559322033898305,0
uti,adulto,Hospital Cristo Redentor,18,2020-04-01,-30.010102,-51.15926,14,29,11,0.6206896551724138,0
uti,adulto,Hospital Moinhos de Vento,37,2020-04-01,-30.02552,-51.20842,14,56,19,0.6607142857142857,13
uti,adulto,Hospital Ernesto Dornelles,29,2020-04-01,-30.047509,-51.212131,14,40,11,0.725,0
uti,adulto,Hospital Vila Nova,19,2020-04-01,-30.119308,-51.207744,14,20,1,0.95,0
uti,adulto,HPS,13,2020-04-01,-30.036874,-51.209282,14,20,7,0.65,0
uti,adulto,HospitaL Independência,8,2020-04-01,-30.061051,-51.149073,14,10,2,0.8,0
uti,adulto,Hospital Femina,3,2020-04-01,-30.029239,-51.206848,14,4,1,0.75,0
uti,adulto,Hospital Divina Providência,14,2020-04-01,-30.084428,-51.18839,14,16,2,0.875,0
uti,adulto,Hospital Restinga,9,2020-04-01,-30.142524,-51.128803,14,10,1,0.9,0
uti,adulto,Hospital Santa Ana,6,2020-04-01,-30.086664,-51.20689,14,10,4,0.6,0
uti,adulto,Hospital Mãe de Deus,40,2020-04-01,-30.058845,-51.228945,14,50,10,0.8,5
uti,adulto,Hospital Conceição,45,2020-04-02,-30.01587,-51.158236,14,59,14,0.7627118644067796,1
uti,adulto,HCPA,43,2020-04-02,-30.038435,-51.206637,14,55,12,0.7818181818181819,6
uti,adulto,Hospital Santa Casa,68,2020-04-02,-30.030803,-51.221512,14,87,19,0.7816091954022989,0
uti,adulto,Hospital São Lucas,28,2020-04-02,-30.055122,-51.173819,14,59,31,0.4745762711864407,0
uti,adulto,Hospital Cristo Redentor,18,2020-04-02,-30.010102,-51.15926,14,29,11,0.6206896551724138,0
uti,adulto,Hospital Moinhos de Vento,48,2020-04-02,-30.02552,-51.20842,14,56,8,0.8571428571428571,14
uti,adulto,Hospital Ernesto Dornelles,27,2020-04-02,-30.047509,-51.212131,14,40,13,0.675,0
uti,adulto,Hospital Vila Nova,19,2020-04-02,-30.119308,-51.207744,14,20,1,0.95,0
uti,adulto,HPS,10,2020-04-02,-30.036874,-51.209282,14,20,10,0.5,0
uti,adulto,HospitaL Independência,7,2020-04-02,-30.061051,-51.149073,14,10,3,0.7,0
uti,adulto,Hospital Femina,4,2020-04-02,-30.029239,-51.206848,14,4,0,1,0
uti,adulto,Hospital Divina Providência,14,2020-04-02,-30.084428,-51.18839,14,16,2,0.875,0
uti,adulto,Hospital Restinga,10,2020-04-02,-30.142524,-51.128803,14,10,0,1,0
uti,adulto,Hospital Santa Ana,7,2020-04-02,-30.086664,-51.20689,14,10,3,0.7,0
uti,adulto,Hospital Mãe de Deus,40,2020-04-02,-30.058845,-51.228945,14,50,10,0.8,5
uti,pediatrico,Hospital Santa Casa,28,2020-04-01,-30.030803,-51.221512,14,37,9,0.7567567567567568,0
uti,pediatrico,Hospital São Lucas,4,2020-04-01,-30.055122,-51.173819,14,12,8,0.3333333333333333,0
uti,pediatrico,HCPA,9,2020-04-01,-30.038435,-51.206637,14,13,4,0.6923076923076923,0
uti,pediatrico,HPS,3,2020-04-01,-30.036874,-51.209282,14,8,5,0.375,0
uti,pediatrico,Hospital Moinhos de Vento,6,2020-04-01,-30.02552,-51.20842,14,11,5,0.5454545454545454,0
uti,pediatrico,Hospital Conceição,5,2020-04-01,-30.01587,-51.158236,14,18,13,0.2777777777777778,0
uti,pediatrico,HMIPV,3,2020-04-01,-30.029525,-51.214865,14,6,3,0.5,0
uti,pediatrico,Hospital Santa Casa,31,2020-04-02,-30.030803,-51.221512,14,37,6,0.8378378378378378,0
uti,pediatrico,Hospital São Lucas,5,2020-04-02,-30.055122,-51.173819,14,12,7,0.4166666666666667,0
uti,pediatrico,HCPA,9,2020-04-02,-30.038435,-51.206637,14,13,4,0.6923076923076923,0
uti,pediatrico,HPS,3,2020-04-02,-30.036874,-51.209282,14,8,5,0.375,0
uti,pediatrico,Hospital Moinhos de Vento,5,2020-04-02,-30.02552,-51.20842,14,11,6,0.45454545454545453,0
uti,pediatrico,Hospital Conceição,5,2020-04-02,-30.01587,-51.158236,14,18,13,0.2777777777777778,0
uti,pediatrico,HMIPV,3,2020-04-02,-30.029525,-51.214865,14,6,3,0.5,0
emergencia,adulto,HCPA,18,2020-04-03,-30.038435,-51.206637,14,41,23,0.43902439024390244,NA
emergencia,adulto,Hospital Conceição,30,2020-04-03,-30.01587,-51.158236,14,64,34,0.46875,NA
emergencia,adulto,Instituto de Cardiologia,11,2020-04-03,-30.049092,-51.20903,14,21,10,0.5238095238095238,NA
emergencia,adulto,Hospital Santa Casa,19,2020-04-03,-30.030803,-51.221512,14,24,5,0.7916666666666666,NA
emergencia,adulto,Hospital São Lucas,6,2020-04-03,-30.055122,-51.173819,14,17,11,0.35294117647058826,NA
emergencia,adulto,Hospital Restinga,4,2020-04-03,-30.142524,-51.128803,14,18,14,0.2222222222222222,NA
emergencia,adulto,Hospital Vila Nova,5,2020-04-03,-30.119308,-51.207744,14,26,21,0.19230769230769232,NA
emergencia,adulto,PA Bom Jesus,3,2020-04-03,-30.043194,-51.153916,14,7,4,0.42857142857142855,NA
emergencia,adulto,PA Cruzeiro do Sul,6,2020-04-03,-30.069603,-51.216537,14,12,6,0.5,NA
emergencia,adulto,PA Lomba do Pinheiro,3,2020-04-03,-30.110731,-51.110188,14,9,6,0.3333333333333333,NA
emergencia,adulto,UPA Zona Norte,12,2020-04-03,-30.009546,-51.146056,14,17,5,0.7058823529411765,NA
emergencia,pediatrico,HCPA,2,2020-04-03,-30.038435,-51.206637,14,9,7,0.2222222222222222,NA
emergencia,pediatrico,Hospital Conceição,4,2020-04-03,-30.01587,-51.158236,14,16,12,0.25,NA
emergencia,pediatrico,Hospital Santa Casa,2,2020-04-03,-30.030803,-51.221512,14,11,9,0.18181818181818182,NA
emergencia,pediatrico,Hospital São Lucas,0,2020-04-03,-30.055122,-51.173819,14,4,4,0,NA
emergencia,pediatrico,HMIPV,1,2020-04-03,-30.029525,-51.214865,14,9,8,0.1111111111111111,NA
emergencia,pediatrico,Hospital Restinga,0,2020-04-03,-30.142524,-51.128803,14,6,6,0,NA
emergencia,pediatrico,PA Bom Jesus,0,2020-04-03,-30.043194,-51.153916,14,5,5,0,NA
emergencia,pediatrico,PA Cruzeiro do Sul,0,2020-04-03,-30.069603,-51.216537,14,9,9,0,NA
emergencia,pediatrico,PA Lomba do Pinheiro,0,2020-04-03,-30.110731,-51.110188,14,4,4,0,NA
uti,adulto,Hospital Conceição,47,2020-04-03,-30.01587,-51.158236,14,69,22,0.6811594202898551,3
uti,adulto,HCPA,48,2020-04-03,-30.038435,-51.206637,14,55,7,0.8727272727272727,6
uti,adulto,Hospital Santa Casa,71,2020-04-03,-30.030803,-51.221512,14,87,16,0.8160919540229885,0
uti,adulto,Hospital São Lucas,36,2020-04-03,-30.055122,-51.173819,14,59,23,0.6101694915254238,0
uti,adulto,Hospital Cristo Redentor,18,2020-04-03,-30.010102,-51.15926,14,29,11,0.6206896551724138,0
uti,adulto,Hospital Moinhos de Vento,40,2020-04-03,-30.02552,-51.20842,14,56,16,0.7142857142857143,14
uti,adulto,Hospital Ernesto Dornelles,14,2020-04-03,-30.047509,-51.212131,14,20,6,0.7,0
uti,adulto,Hospital Vila Nova,19,2020-04-03,-30.119308,-51.207744,14,20,1,0.95,0
uti,adulto,HPS,9,2020-04-03,-30.036874,-51.209282,14,20,11,0.45,0
uti,adulto,HospitaL Independência,7,2020-04-03,-30.061051,-51.149073,14,10,3,0.7,0
uti,adulto,Hospital Femina,2,2020-04-03,-30.029239,-51.206848,14,4,2,0.5,0
uti,adulto,Hospital Divina Providência,10,2020-04-03,-30.084428,-51.18839,14,16,6,0.625,1
uti,adulto,Hospital Restinga,9,2020-04-03,-30.142524,-51.128803,14,10,1,0.9,0
uti,adulto,Hospital Santa Ana,8,2020-04-03,-30.086664,-51.20689,14,10,2,0.8,0
uti,adulto,Hospital Mãe de Deus,42,2020-04-03,-30.058845,-51.228945,14,50,8,0.84,5
uti,pediatrico,Hospital Santa Casa,22,2020-04-03,-30.030803,-51.221512,14,37,15,0.5945945945945946,0
uti,pediatrico,Hospital São Lucas,6,2020-04-03,-30.055122,-51.173819,14,12,6,0.5,0
uti,pediatrico,HCPA,8,2020-04-03,-30.038435,-51.206637,14,13,5,0.6153846153846154,0
uti,pediatrico,HPS,3,2020-04-03,-30.036874,-51.209282,14,8,5,0.375,0
uti,pediatrico,Hospital Moinhos de Vento,4,2020-04-03,-30.02552,-51.20842,14,11,7,0.36363636363636365,0
uti,pediatrico,Hospital Conceição,5,2020-04-03,-30.01587,-51.158236,14,18,13,0.2777777777777778,0
uti,pediatrico,HMIPV,3,2020-04-03,-30.029525,-51.214865,14,8,5,0.375,0
emergencia,adulto,HCPA,20,2020-04-04,-30.038435,-51.206637,14,41,21,0.4878048780487805,NA
emergencia,adulto,Hospital Conceição,39,2020-04-04,-30.01587,-51.158236,14,64,25,0.609375,NA
emergencia,adulto,Instituto de Cardiologia,0,2020-04-04,-30.049092,-51.20903,14,21,21,0,NA
emergencia,adulto,Hospital Santa Casa,20,2020-04-04,-30.030803,-51.221512,14,24,4,0.8333333333333334,NA
emergencia,adulto,Hospital São Lucas,1,2020-04-04,-30.055122,-51.173819,14,17,16,0.058823529411764705,NA
emergencia,adulto,Hospital Restinga,5,2020-04-04,-30.142524,-51.128803,14,18,13,0.2777777777777778,NA
emergencia,adulto,Hospital Vila Nova,5,2020-04-04,-30.119308,-51.207744,14,26,21,0.19230769230769232,NA
emergencia,adulto,PA Bom Jesus,6,2020-04-04,-30.043194,-51.153916,14,7,1,0.8571428571428571,NA
emergencia,adulto,PA Cruzeiro do Sul,6,2020-04-04,-30.069603,-51.216537,14,12,6,0.5,NA
emergencia,adulto,PA Lomba do Pinheiro,3,2020-04-04,-30.110731,-51.110188,14,9,6,0.3333333333333333,NA
emergencia,adulto,UPA Zona Norte,8,2020-04-04,-30.009546,-51.146056,14,17,9,0.47058823529411764,NA
emergencia,pediatrico,HCPA,5,2020-04-04,-30.038435,-51.206637,14,9,4,0.5555555555555556,NA
emergencia,pediatrico,Hospital Conceição,3,2020-04-04,-30.01587,-51.158236,14,16,13,0.1875,NA
emergencia,pediatrico,Hospital Santa Casa,0,2020-04-04,-30.030803,-51.221512,14,11,11,0,NA
emergencia,pediatrico,Hospital São Lucas,0,2020-04-04,-30.055122,-51.173819,14,4,4,0,NA
emergencia,pediatrico,HMIPV,0,2020-04-04,-30.029525,-51.214865,14,9,9,0,NA
emergencia,pediatrico,Hospital Restinga,1,2020-04-04,-30.142524,-51.128803,14,6,5,0.16666666666666666,NA
emergencia,pediatrico,PA Bom Jesus,1,2020-04-04,-30.043194,-51.153916,14,5,4,0.2,NA
emergencia,pediatrico,PA Cruzeiro do Sul,0,2020-04-04,-30.069603,-51.216537,14,9,9,0,NA
emergencia,pediatrico,PA Lomba do Pinheiro,0,2020-04-04,-30.110731,-51.110188,14,4,4,0,NA
uti,adulto,Hospital Conceição,50,2020-04-04,-30.01587,-51.158236,14,69,19,0.7246376811594203,3
uti,adulto,HCPA,48,2020-04-04,-30.038435,-51.206637,14,55,7,0.8727272727272727,9
uti,adulto,Hospital Santa Casa,68,2020-04-04,-30.030803,-51.221512,14,87,19,0.7816091954022989,0
uti,adulto,Hospital São Lucas,38,2020-04-04,-30.055122,-51.173819,14,59,21,0.6440677966101694,0
uti,adulto,Hospital Cristo Redentor,22,2020-04-04,-30.010102,-51.15926,14,29,7,0.7586206896551724,0
uti,adulto,Hospital Moinhos de Vento,38,2020-04-04,-30.02552,-51.20842,14,56,18,0.6785714285714286,13
uti,adulto,Hospital Ernesto Dornelles,14,2020-04-04,-30.047509,-51.212131,14,20,6,0.7,0
uti,adulto,Hospital Vila Nova,15,2020-04-04,-30.119308,-51.207744,14,20,5,0.75,0
uti,adulto,HPS,10,2020-04-04,-30.036874,-51.209282,14,20,10,0.5,0
uti,adulto,HospitaL Independência,8,2020-04-04,-30.061051,-51.149073,14,10,2,0.8,0
uti,adulto,Hospital Femina,2,2020-04-04,-30.029239,-51.206848,14,4,2,0.5,0
uti,adulto,Hospital Divina Providência,8,2020-04-04,-30.084428,-51.18839,14,16,8,0.5,1
uti,adulto,Hospital Restinga,9,2020-04-04,-30.142524,-51.128803,14,10,1,0.9,0
uti,adulto,Hospital Santa Ana,8,2020-04-04,-30.086664,-51.20689,14,10,2,0.8,0
uti,adulto,Hospital Mãe de Deus,39,2020-04-04,-30.058845,-51.228945,14,50,11,0.78,6
uti,pediatrico,Hospital Santa Casa,26,2020-04-04,-30.030803,-51.221512,14,37,11,0.7027027027027027,0
uti,pediatrico,Hospital São Lucas,6,2020-04-04,-30.055122,-51.173819,14,12,6,0.5,0
uti,pediatrico,HCPA,8,2020-04-04,-30.038435,-51.206637,14,13,5,0.6153846153846154,0
uti,pediatrico,HPS,4,2020-04-04,-30.036874,-51.209282,14,8,4,0.5,0
uti,pediatrico,Hospital Moinhos de Vento,5,2020-04-04,-30.02552,-51.20842,14,11,6,0.45454545454545453,0
uti,pediatrico,Hospital Conceição,5,2020-04-04,-30.01587,-51.158236,14,18,13,0.2777777777777778,0
uti,pediatrico,HMIPV,2,2020-04-04,-30.029525,-51.214865,14,6,4,0.3333333333333333,0
emergencia,adulto,HCPA,14,2020-04-05,-30.038435,-51.206637,15,41,27,0.34146341463414637,NA
emergencia,adulto,Hospital Conceição,38,2020-04-05,-30.01587,-51.158236,15,64,26,0.59375,NA
emergencia,adulto,Instituto de Cardiologia,10,2020-04-05,-30.049092,-51.20903,15,21,11,0.47619047619047616,NA
emergencia,adulto,Hospital Santa Casa,14,2020-04-05,-30.030803,-51.221512,15,24,10,0.5833333333333334,NA
emergencia,adulto,Hospital São Lucas,1,2020-04-05,-30.055122,-51.173819,15,17,16,0.058823529411764705,NA
emergencia,adulto,Hospital Restinga,6,2020-04-05,-30.142524,-51.128803,15,18,12,0.3333333333333333,NA
emergencia,adulto,Hospital Vila Nova,5,2020-04-05,-30.119308,-51.207744,15,26,21,0.19230769230769232,NA
emergencia,adulto,PA Bom Jesus,12,2020-04-05,-30.043194,-51.153916,15,7,-5,1.7142857142857142,NA
emergencia,adulto,PA Cruzeiro do Sul,7,2020-04-05,-30.069603,-51.216537,15,12,5,0.5833333333333334,NA
emergencia,adulto,PA Lomba do Pinheiro,3,2020-04-05,-30.110731,-51.110188,15,9,6,0.3333333333333333,NA
emergencia,adulto,UPA Zona Norte,8,2020-04-05,-30.009546,-51.146056,15,17,9,0.47058823529411764,NA
emergencia,pediatrico,HCPA,4,2020-04-05,-30.038435,-51.206637,15,9,5,0.4444444444444444,NA
emergencia,pediatrico,Hospital Conceição,2,2020-04-05,-30.01587,-51.158236,15,16,14,0.125,NA
emergencia,pediatrico,Hospital Santa Casa,2,2020-04-05,-30.030803,-51.221512,15,11,9,0.18181818181818182,NA
emergencia,pediatrico,Hospital São Lucas,0,2020-04-05,-30.055122,-51.173819,15,4,4,0,NA
emergencia,pediatrico,HMIPV,1,2020-04-05,-30.029525,-51.214865,15,9,8,0.1111111111111111,NA
emergencia,pediatrico,Hospital Restinga,2,2020-04-05,-30.142524,-51.128803,15,6,4,0.3333333333333333,NA
emergencia,pediatrico,PA Bom Jesus,0,2020-04-05,-30.043194,-51.153916,15,5,5,0,NA
emergencia,pediatrico,PA Cruzeiro do Sul,0,2020-04-05,-30.069603,-51.216537,15,9,9,0,NA
emergencia,pediatrico,PA Lomba do Pinheiro,1,2020-04-05,-30.110731,-51.110188,15,4,3,0.25,NA
uti,adulto,Hospital Conceição,50,2020-04-05,-30.01587,-51.158236,15,69,19,0.7246376811594203,2
uti,adulto,HCPA,41,2020-04-05,-30.038435,-51.206637,15,55,14,0.7454545454545455,9
uti,adulto,Hospital Santa Casa,71,2020-04-05,-30.030803,-51.221512,15,87,16,0.8160919540229885,0
uti,adulto,Hospital São Lucas,34,2020-04-05,-30.055122,-51.173819,15,59,25,0.576271186440678,0
uti,adulto,Hospital Cristo Redentor,23,2020-04-05,-30.010102,-51.15926,15,29,6,0.7931034482758621,0
uti,adulto,Hospital Moinhos de Vento,30,2020-04-05,-30.02552,-51.20842,15,56,26,0.5357142857142857,13
uti,adulto,Hospital Ernesto Dornelles,14,2020-04-05,-30.047509,-51.212131,15,20,6,0.7,0
uti,adulto,Hospital Vila Nova,15,2020-04-05,-30.119308,-51.207744,15,20,5,0.75,0
uti,adulto,HPS,14,2020-04-05,-30.036874,-51.209282,15,20,6,0.7,0
uti,adulto,HospitaL Independência,6,2020-04-05,-30.061051,-51.149073,15,10,4,0.6,0
uti,adulto,Hospital Femina,2,2020-04-05,-30.029239,-51.206848,15,4,2,0.5,0
uti,adulto,Hospital Divina Providência,8,2020-04-05,-30.084428,-51.18839,15,16,8,0.5,1
uti,adulto,Hospital Restinga,9,2020-04-05,-30.142524,-51.128803,15,10,1,0.9,0
uti,adulto,Hospital Santa Ana,9,2020-04-05,-30.086664,-51.20689,15,10,1,0.9,0
uti,adulto,Hospital Mãe de Deus,39,2020-04-05,-30.058845,-51.228945,15,50,11,0.78,6
uti,pediatrico,Hospital Santa Casa,24,2020-04-05,-30.030803,-51.221512,15,37,13,0.6486486486486487,0
uti,pediatrico,Hospital São Lucas,7,2020-04-05,-30.055122,-51.173819,15,12,5,0.5833333333333334,0
uti,pediatrico,HCPA,9,2020-04-05,-30.038435,-51.206637,15,13,4,0.6923076923076923,0
uti,pediatrico,HPS,4,2020-04-05,-30.036874,-51.209282,15,8,4,0.5,0
uti,pediatrico,Hospital Moinhos de Vento,3,2020-04-05,-30.02552,-51.20842,15,11,8,0.2727272727272727,0
uti,pediatrico,Hospital Conceição,5,2020-04-05,-30.01587,-51.158236,15,18,13,0.2777777777777778,0
uti,pediatrico,HMIPV,2,2020-04-05,-30.029525,-51.214865,15,6,4,0.3333333333333333,0
emergencia,adulto,HCPA,17,2020-04-06,-30.038435,-51.206637,15,41,24,0.4146341463414634,NA
emergencia,adulto,Hospital Conceição,42,2020-04-06,-30.01587,-51.158236,15,64,22,0.65625,NA
